GDP (current US$),"Inflation, GDP deflator (annual %)",Imports of goods and services (current US$),Exports of goods and services (annual % growth),General government final consumption expenditure (current US$),Tax revenue (current LCU),"Foreign direct investment, net outflows (% of GDP)"
128026966579.964,7.288856255916,34720875699.535,14.6644008234951,12183386537.4005,1543994683379680.0,0.557695006820337
158006700301.533,19.1525782575141,37555937063.1049,6.60872896730307,14257437867.9777,1543994683379680.0,0.225306901112817
176892143931.505,7.77657280254944,44869883142.4274,9.94118840382323,14353349531.4127,1543994683379680.0,0.344277584331734
202132028723.115,9.88204513048363,55882279823.789,7.72117304742721,15825045991.9485,1543994683379680.0,0.298319867370451
227369679374.973,8.67650975491905,60116979037.698,7.56001906317651,17204969474.4482,1543994683379680.0,0.26388742845984
215748998609.635,12.5713762955503,60700151259.0363,7.79997401958943,14763283406.1994,1543994683379680.0,0.0825032798052815
95445547872.715,75.2711687750257,41249712041.6119,11.1831750143295,5434199705.76814,1543994683379680.0,0.0460995834595427
140001351215.462,14.1611959851412,38402067922.3448,-31.8049814713596,9246328959.29841,1543994683379680.0,0.0514280750684985
165021012077.81,20.4474568512747,50264686469.7912,26.4849189447789,10779164212.8096,10779164212.8096,10779164212.8096
160446947784.909,14.2957154355698,49355195402.1429,0.644980256993861,11053285490.1216,11053285490.1216,11053285490.1216
195660611165.183,5.89605169517237,51638437160.6839,-1.21693045987303,14199987339.966,14199987339.966,14199987339.966
234772463823.808,5.48742913580284,54323622341.4892,5.88637986955192,19085795197.2016,19085795197.2016,19085795197.2016
256836875295.452,8.55072703194281,70744690513.6428,13.5283305039343,21373625751.5732,21373625751.5732,1.32691226525771
285868619196.085,14.3317870855917,85533801154.4002,16.6013141829863,23182537744.9277,23182537744.9277,1.07217084848954
364570515618.357,14.0874244166119,93411754075.7803,9.40552567825684,31452113784.6363,31452113784.6363,0.747661385555764
432216737774.861,11.2585785299071,109755093425.227,8.54297971645535,36074838967.2902,36074838967.2902,1.08166796687898
510228634990.598,18.1497512500449,146706628549.188,9.53346069996192,42980542403.3756,658701000000000.0,1.1562914831754
539580085616.492,8.27475243197149,115216544854.096,-9.69013805052266,51741295652.6447,619922000000000.0,0.416828151320723
755094157621.936,15.2642936576363,169158027606.647,15.2663224132111,68003137953.3797,723307000000000.0,0.554325077703535
892969104563.171,7.46594303367513,212996885270.321,14.7699192450414,80891188503.8326,873874000000000.0,1.01196597045047
917869913332.649,3.75387875323653,229362102379.516,1.60874874587711,84891845809.9347,980518000000000.0,0.815426294179616
912524136718.018,4.96599029131677,225519356300.018,4.16695751296774,86851491925.4314,1077310000000000.0,1.21768693403894
890814755533.537,5.44317454935612,217485215772.764,1.07463960212013,83959519813.679,1145282928434310.0,1.16607114019871
860854232686.214,3.98024266013961,178863652302.637,-2.12023972800051,83928241095.2205,1239482788808500.0,1.05414474550635
931877364037.698,2.43892408688207,170835000832.586,-1.66050861138726,88787505520.4104,1281885902999960.0,-1.24417683344392
1015618744159.73,4.29267812199525,194777319199.091,8.89729217380643,92630230194.0416,1342306913501640.0,0.197738765986121
1042271532988.63,3.81832356943335,230045612383.417,6.51414738320805,94025731018.7141,1518025961356800.0,0.613968176859219
1119099871350.2,1.59848849984144,213034646338.22,-0.477023226954998,98575590880.9451,1543994683379680.0,0.39875629482426
1059054842698.48,-0.401651435218994,165646843304.628,-8.41781579812172,102259693603.392,1283358903801800.0,0.475197656129903
1186509691086.73,6.00397322136207,222923845055.988,17.9902912004879,109715858391.561,1543867466397760.0,0.33094767209592
1319076267310.16,9.56668684525337,276506804875.074,16.2339125838335,101348330803.568,2033269110638950.0,0.50299000126618
1371171152331.16,1.5330736733459,268325648223.764,1.32324774399375,102089095323.389,102089095323.389,0.517913083994367
