"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Indonesia","IDN","Internally displaced persons, total displaced by conflict and violence (number of people)","VC.IDP.TOCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70000","200000","180000","170000","90000","84000","6100","6700","9500","13000","37000","42000","73000","69000","55000",
"Indonesia","IDN","Voice and Accountability: Standard Error","VA.STD.ERR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.208055749535561","","0.21355502307415","","0.202215626835823","","0.163097977638245","0.156107157468796","0.15006248652935","0.14865680038929","0.114942789077759","0.116421282291412","0.113247342407703","0.115104839205742","0.113698810338974","0.112037524580956","0.111919708549976","0.110470719635487","0.127568662166595","0.129707649350166","0.125430688261986","0.125948071479797","0.129141464829445","0.123224832117558","0.12763549387455","0.130038842558861","0.128073826432228","",
"Indonesia","IDN","Voice and Accountability: Number of Sources","VA.NO.SRC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","","7","","8","","10","11","12","13","16","16","16","16","16","17","17","16","13","13","13","13","13","12","11","11","11","",
"Indonesia","IDN","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.0771207749917","10.6359925327636","10.6778137632773","9.56618273182515","9.28173381872641","8.88659188953119","7.99841796063373","8.44612317142682","8.21282423439125","8.09203041114749","8.42466417163406","7.20344630519066","7.94130338987218","",
"Indonesia","IDN","Export value index (2015 = 100)","TX.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.6345564247","47.0628162763","57.8560959704","68.8498740169","78.4836823492","92.8439490347","79.569697026","105.1259573239","135.3341911801","126.3793914419","121.4048721806","117.2421611531","100","96.0919016945","112.2662839969","119.7903199306","111.5163495636","108.6057862836","152.8598203776","","",
"Indonesia","IDN","Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports)","TX.VAL.MRCH.R6.ZS","0.326236263736264","","","","","","","","","","","","","","0.290913008929413","0.0323847875980344","0.183703079659272","0.107870886846206","0.216442780087264","0.109766665596816","0.170652357420868","0.0264591374321197","0.0639709401938812","0.0169848174603923","0.0424727352441497","0.205352055133264","0.193793215211755","0.129819475249888","0.403023969863509","0.266738451649022","0.214230521006809","0.426408596495532","0.466282059333641","0.416170205724188","0.368693241223704","0.544740099749152","0.6793845374122","0.8400388416941","1.14243875361519","1.46214118878394","1.18165720148566","1.37492357513767","1.41718357019693","1.41574057290368","1.26661010375362","1.17311606115883","1.10269451120203","1.26018462240394","1.26020185883384","1.28937435855574","1.42337352182483","1.75750672982894","2.01917170318683","2.00618304154433","2.33882089147551","1.88345775135811","1.80944753372404","1.75864418633607","1.66269543127668","1.78054600203604","1.81083812912353","","","",
"Indonesia","IDN","Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports)","TX.VAL.MRCH.R2.ZS","","","","","","","","","","","","","","","","0.03520085608482","0.0432930824674717","0.00276592017554373","0.000858899920981207","0.00256764130051032","0.00319402808006972","0.00251991785067807","0.00894698464250086","0.0212310218254904","0.0392758626988911","0.0327918203223275","0.0189066551426102","0.0331825564540072","0.0505715096627706","0.0325491782208533","0.0772918304068605","0.112745883097497","0.180809253444368","0.237460538257179","0.470783731626919","0.636642977286263","0.309405013529672","0.511317747039992","0.594898225301769","0.467798277497116","0.555461296547421","0.62381132911946","0.777434376585257","0.931552635417143","0.912898609061682","1.22745192827755","1.24330158198935","1.59218599994735","1.34332565103025","1.23049088573442","1.44602140398912","1.47847002363671","1.55052662446325","1.78675530259871","1.73824427086879","1.73490552086866","2.00635042821858","1.67688399708294","1.74294086111702","1.56466332208153","1.5203679002183","","","",
"Indonesia","IDN","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","841000000","784000000","682000000","696000000","724000000","708000000","679000000","665000000","731000000","854000000","1108000000","1234000000","1777000000","3211000000","7426000000","7102000000","8547000000","10853000000","11643000000","15591000000","21909000000","22260000000","22293000000","21152000000","21902000000","18590000000","16075000000","17135000000","19465000000","22160000000","25675000000","29142000000","33967000000","36823000000","40055000000","45417000000","49814000000","56298000000","50370000000","51243000000","65403000000","57361000000","59166000000","64108000000","70767000000","86996000000","103527000000","118013000000","139606000000","119646000000","157779000000","203497000000","190032000000","182552000000","176293000000","150366000000","144490000000","168811000000","180124000000","167683000000","163306000000","231506000000","291979000000","258857000000",
"Indonesia","IDN","Insurance and financial services (% of commercial service exports)","TX.VAL.INSF.ZS.WT","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0378891947985437","0.0528849975670203","2.44824250515532","3.02127188990053","2.46303956095674","2.92148072039891","2.43432157121036","1.7255746048029","2.5434967912408","2.22483159187549","1.08120376259289","1.24902266814666","1.08469022197755","1.39877609945468","1.83809457029683","2.92903363930302","2.69209653180611","2.02907211485084","5.62733263319071","8.05854676198172","4.93292888629554","6.2767336889895",
"Indonesia","IDN","Agricultural raw materials exports (% of merchandise exports)","TX.VAL.AGRI.ZS.UN","","","45.5693749703941","","","","","28.5154957653347","27.7727548808642","28.8772337775377","34.7826902094381","31.3607910168078","24.5824772235695","30.8228299374633","16.5069145564662","12.3133394891077","15.736257669737","14.5609751529755","15.1766028747642","18.3263188267184","14.1400452262081","8.21718837283472","5.76330128554594","6.32503534600311","6.69606799029058","5.97695156939387","7.72346437033866","9.3730428718872","","9.23454626044995","5.06564546098474","5.22183395119004","4.66125193288888","4.19144282955693","4.88607602189808","6.65630797089512","5.83313779478491","4.6198700600429","4.48316403059336","3.75239922407934","3.60207299459181","3.59018324611444","4.32797806712822","4.95205647996896","5.02157945137303","5.05858556917474","6.40257398307986","6.24368366778408","6.3989116982125","4.52010574414856","6.54551890261162","7.5075763082388","5.96261086651247","5.85554002487058","4.94089322085448","5.00288548118125","4.82024866368512","5.99029974302901","5.09433382853086","5.45453439852113","5.10395599145483","4.62510602104683","3.76030156856005","",
